학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250522,339,667.0,90.0,23.4,23.5,180.1,0.4,0.6,33.8,309.7,2.9,"['친환경 차조밥', '김치전골', '미트볼데리야끼조림', '비름나물무침', '깍두기', '오렌지', '일반우유']"
가경초등학교,20250523,334,741.6,101.9,32.5,21.4,113.1,1.0,0.8,22.7,169.4,3.6,"['친환경 기장밥', '들기름막국수', '근대된장국', '돈육고추장오븐구이', '배추김치', '발효유', '파인애플']"
가경초등학교,20250526,339,577.8,79.7,32.5,13.3,145.7,0.4,0.5,10.3,299.1,2.2,"['친환경 홍미밥', '다시마어묵국', '묵은지순살닭찜', '콩나물무침', '열무김치', '배', '일반우유']"
가경초등학교,20250527,339,646.6,75.4,32.0,22.8,325.7,1.0,0.7,6.7,452.4,3.2,"['친환경 찹쌀밥', '북어감자국', '큐브치즈어린잎샐러드', '목살스테이크', '배추김치', '고칼슘우유', '수박']"
가경초등학교,20250528,339,655.8,100.0,21.4,18.2,114.7,0.3,0.5,6.5,285.6,11.4,"['자율흰쌀밥', '베트남쌀국수', '넴롤', '배추김치', '저지방우유', '구슬아이스크림']"
가경초등학교,20250529,339,688.9,91.2,27.0,24.1,121.9,0.6,0.8,11.9,261.5,3.5,"['친환경 기장밥', '애호박된장찌개', '오이부추무침', '숯불맛 오리불고기', '깍두기', '청포도', '일반우유']"
가경초등학교,20250530,339,552.4,79.2,28.6,12.2,93.0,0.4,0.4,8.3,199.1,6.1,"['친환경 귀리밥', '바지락순두부찌개', '오징어미나리초무침', '계란말이', '백김치', '발효유', '바다친구들 찐빵']"
가경초등학교,20250602,339,882.4,110.2,37.6,31.9,160.0,0.4,0.7,6.1,392.4,3.6,"['친환경 기장밥', '쇠고기미역국', '꼬들오이&무채장아찌', '꿀대구', '배추김치', '물방울 츄러스', '일반우유']"
가경초등학교,20250604,339,775.5,127.3,23.8,18.8,165.4,0.4,0.6,11.7,290.3,2.6,"['쇠고기야채볶음밥', '팽이버섯장국', '배추김치', '저지방우유', '팝핑 푸딩', '로제 떡볶이']"
가경초등학교,20250605,339,758.9,81.4,38.9,28.9,191.5,0.9,0.8,7.7,274.8,3.3,"['친환경 홍미밥', '등뼈감자탕', '새송이메추리알장조림', '진미채볶음', '깍두기', '청포도', '일반우유']"
가경초등학교,20250609,339,642.4,75.0,31.2,22.9,174.0,1.9,0.8,23.3,266.5,2.9,"['친환경 찹쌀밥', '계란실파국', '돈육폭찹스테이크', '도토리묵무침', '배추김치', '방울토마토', '일반우유']"
가경초등학교,20250610,339,627.3,75.9,31.8,21.0,277.2,0.7,0.6,12.7,447.4,4.1,"['친환경 귀리밥', '누룽지닭백숙', '숙주미나리무침', '깻잎고기전', '깍두기', '고칼슘우유', '참외샐러드']"
가경초등학교,20250611,339,677.2,132.2,24.4,7.7,50.7,0.4,0.3,13.2,230.5,1.9,"['자율흰쌀밥', '짜장면', '고구마맛탕', '배추김치', '저지방우유', '스위트플럼']"
가경초등학교,20250612,339,661.5,74.9,35.0,23.8,232.8,0.3,0.7,19.5,281.0,4.7,"['친환경 발아현미밥', '두부김치국', '시금치들깨무침', '쇠고기버섯볶음', '깍두기', '일반우유', '21곡 롤스틱']"
가경초등학교,20250613,339,655.4,98.6,24.0,18.2,108.2,0.5,0.4,46.8,251.1,2.2,"['친환경 차수수밥', '오징어배추장국', '미트볼떡조림', '청경채된장무침', '열무김치', '발효유', '오렌지']"
